GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
982,3676708,19112,1.42,0.007,18.411261,-65.992045
983,8961252,622471,3.46,0.24,18.417816,-65.975819
985,21083062,759740,8.14,0.293,18.41077,-65.947928
987,64273596,451739,24.816,0.174,18.338161,-65.941083
1001,29635482,2229764,11.442,0.861,42.062368,-72.625754
1002,142559990,4276576,55.043,1.651,42.364061,-72.458739
1003,1842385,12788,0.711,0.005,42.389941,-72.524108
1005,114586901,667043,44.242,0.258,42.418848,-72.106598
1007,136346000,6943850,52.643,2.681,42.27901,-72.400468
1008,139331464,5086093,53.796,1.964,42.190144,-72.95435
1009,2065002,23,0.797,0,42.211969,-72.341433
1010,89982815,1420255,34.743,0.548,42.128176,-72.205352
1011,81884738,342413,31.616,0.132,42.300281,-72.968716
1012,33977756,545070,13.119,0.21,42.375425,-72.858192
1013,14567024,1731911,5.624,0.669,42.154904,-72.602804
1020,32298400,1178303,12.47,0.455,42.172602,-72.562073
1022,12332098,2118,4.761,0.001,42.197741,-72.542713
1026,62170238,332514,24.004,0.128,42.465495,-72.918267
1027,104898084,1188125,40.501,0.459,42.295008,-72.751877
1028,33686036,181930,13.006,0.07,42.062378,-72.498111
1029,41047352,5315002,15.848,2.052,42.193395,-73.044647
1030,30736643,469713,11.867,0.181,42.072925,-72.686972
1031,20957781,0,8.092,0,42.329399,-72.198187
1032,30481479,887368,11.769,0.343,42.457613,-72.81478
1033,72068292,667247,27.826,0.258,42.244949,-72.500143
1034,185434896,5014343,71.597,1.936,42.098676,-72.961564
1035,59792598,3939020,23.086,1.521,42.356491,-72.568632
1036,50537905,89778,19.513,0.035,42.062946,-72.417297
1037,36546198,3962664,14.111,1.53,42.372728,-72.195412
1038,25893905,2245669,9.998,0.867,42.385496,-72.606929
1039,34206724,595528,13.207,0.23,42.404278,-72.688922
1040,55116746,4025644,21.281,1.554,42.211656,-72.642448
1050,99270930,2581118,38.329,0.997,42.286762,-72.869695
1053,13289900,251888,5.131,0.097,42.356301,-72.713584
1054,59071079,425599,22.807,0.164,42.468898,-72.484579
1056,70461179,2835835,27.205,1.095,42.183577,-72.457812
1057,116310325,1605164,44.908,0.62,42.093596,-72.321494
1060,28283728,3254940,10.92,1.257,42.321488,-72.630588
