GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                                  
920,7334198,135875,2.832,0.052,18.414292,-66.088042
921,6941064,0,2.68,0,18.392282,-66.088555
923,5283984,7303,2.04,0.003,18.409307,-66.038888
924,12143485,1620,4.689,0.001,18.399192,-66.012453
925,1158081,0,0.447,0,18.400296,-66.050602
926,62567091,1052377,24.157,0.406,18.3454,-66.051545
927,6803691,5830,2.627,0.002,18.388011,-66.072089
934,1940429,26786,0.749,0.01,18.411313,-66.124234
936,417955,0,0.161,0,18.395463,-66.073772
949,45564375,2130432,17.593,0.823,18.430696,-66.212833
950,6204986,1989347,2.396,0.768,18.463692,-66.234559
951,1075640,29541,0.415,0.011,18.42753,-66.253789
952,3204977,0,1.237,0,18.427448,-66.182026
953,69145289,1364942,26.697,0.527,18.360729,-66.251527
956,68564493,215297,26.473,0.083,18.319539,-66.168891
957,11965792,1407,4.62,0.001,18.368533,-66.187693
959,16613747,81789,6.415,0.032,18.388924,-66.154999
960,2408447,2485,0.93,0.001,18.416919,-66.145795
961,13357995,205472,5.158,0.079,18.413286,-66.164617
962,9877973,1152267,3.814,0.445,18.442299,-66.145357
965,1709784,342594,0.66,0.132,18.433757,-66.114752
966,8339813,4490,3.22,0.002,18.401521,-66.117597
968,1185643,0,0.458,0,18.406085,-66.101232
969,12647096,39797,4.883,0.015,18.368062,-66.108062
971,41332674,94182,15.959,0.036,18.318832,-66.119215
976,43356864,738165,16.74,0.285,18.336408,-65.994057
979,4040797,504454,1.56,0.195,18.444394,-66.030036
982,3676707,19111,1.42,0.007,18.411261,-65.992045
983,8960843,622882,3.46,0.24,18.417816,-65.975819
985,21083062,759740,8.14,0.293,18.408588,-65.946933
987,64273606,451739,24.816,0.174,18.338161,-65.941083
1001,29635484,2229763,11.442,0.861,42.062332,-72.628274
1002,142559992,4276576,55.043,1.651,42.363977,-72.458507
1003,1842386,12788,0.711,0.005,42.389941,-72.524108
1005,114586902,667042,44.242,0.258,42.418848,-72.106598
1007,136345998,6943850,52.643,2.681,42.27901,-72.400468
1008,139331463,5086093,53.796,1.964,42.190144,-72.95435
1009,2065002,23,0.797,0,42.211969,-72.341433
1010,89982820,1420254,34.743,0.548,42.129477,-72.205302
1011,81884739,342412,31.616,0.132,42.300281,-72.968716
1012,33977757,545070,13.119,0.21,42.375425,-72.858192
1013,14567022,1731911,5.624,0.669,42.154904,-72.602804
1020,32308346,1178303,12.474,0.455,42.172698,-72.561835
1022,12322153,2118,4.758,0.001,42.197741,-72.542713
1026,62170237,332514,24.004,0.128,42.465495,-72.918267
1027,104898085,1188125,40.501,0.459,42.295008,-72.751877
1028,33686038,181930,13.006,0.07,42.059614,-72.501234
1029,41047350,5315002,15.848,2.052,42.193395,-73.044647
1030,30736640,469713,11.867,0.181,42.072925,-72.686972
1031,20957784,0,8.092,0,42.329399,-72.198187
1032,30481480,887368,11.769,0.343,42.457613,-72.81478
1033,72068294,667247,27.826,0.258,42.244947,-72.500142
1034,185434899,5014343,71.597,1.936,42.098676,-72.961564
1035,59792597,3939019,23.086,1.521,42.356491,-72.568632
1036,50537904,89778,19.513,0.035,42.062946,-72.417297
1037,36546197,3962664,14.111,1.53,42.372728,-72.195412
1038,25893904,2245670,9.998,0.867,42.385496,-72.606929
1039,34206724,595528,13.207,0.23,42.404278,-72.688922
1040,55116743,4025645,21.281,1.554,42.211656,-72.642448
1050,99270934,2581118,38.329,0.997,42.28675,-72.869693
1053,13289900,251888,5.131,0.097,42.356301,-72.713584
1054,59071078,425599,22.807,0.164,42.468898,-72.484579
1056,70461173,2835833,27.205,1.095,42.188865,-72.459078
1057,116310325,1605164,44.908,0.62,42.093596,-72.321494
1060,28283732,3254939,10.92,1.257,42.321488,-72.630588
1062,47019008,396842,18.154,0.153,42.328314,-72.703923
1063,100502,0,0.039,0,42.318882,-72.63853
1066,1839260,121053,0.71,0.047,42.406903,-72.655018
1068,53924061,1033423,20.82,0.399,42.350862,-72.044248
1069,72688935,766584,28.065,0.296,42.187794,-72.308469
1070,53200775,594020,20.541,0.229,42.518446,-72.919017
1071,40349277,803435,15.579,0.31,42.16006,-72.873853
1072,52021998,1342207,20.086,0.518,42.456968,-72.417244
1073,72913679,2077735,28.152,0.802,42.226949,-72.741588
1074,220752,52379,0.085,0.02,42.387603,-72.09323
1075,45888983,1773563,17.718,0.685,42.256208,-72.58103
1077,79825948,2153476,30.821,0.831,42.05257,-72.777353
1079,2921898,108238,1.128,0.042,42.197424,-72.32702
1080,4473453,258220,1.727,0.1,42.182218,-72.365654
1081,37547925,564877,14.497,0.218,42.061313,-72.234411
1082,119411572,16184428,46.105,6.249,42.293533,-72.278599
1083,40871194,156824,15.78,0.061,42.203642,-72.194599
1084,23821016,222861,9.197,0.086,42.39237,-72.882235
1085,155094658,2964554,59.882,1.145,42.153503,-72.771602
1086,96152,0,0.037,0,42.130446,-72.793967
1088,13468908,36980,5.2,0.014,42.391709,-72.646494
1089,43287159,2093467,16.713,0.808,42.125451,-72.649734
1092,17359778,80681,6.703,0.031,42.191868,-72.235108
1093,13063805,16741,5.044,0.006,42.435121,-72.654963
1094,2942290,169907,1.136,0.066,42.359108,-72.1368
1095,58570055,581240,22.614,0.224,42.127327,-72.427404
1096,82059166,532849,31.683,0.206,42.39714,-72.763572
1097,4426152,208868,1.709,0.081,42.178038,-72.832612
1098,81200697,384431,31.352,0.148,42.394315,-72.943115
1103,1191989,205067,0.46,0.079,42.104106,-72.592027
1104,13509551,212850,5.216,0.082,42.134009,-72.565378
1105,3219039,306964,1.243,0.119,42.095207,-72.577579
1106,24090568,1331604,9.301,0.514,42.047565,-72.57113
1107,3903762,89142,1.507,0.034,42.12106,-72.607068
1108,9643251,406406,3.723,0.157,42.080692,-72.560791
1109,14094956,487867,5.442,0.188,42.119674,-72.549726
1118,9312202,260881,3.595,0.101,42.093732,-72.525905
